INFO  | 2019-11-24 15:46:17 | [main] tests.OrdersTest (OrdersTest.java:90) - ********* Started TestCase_testPostOrdersCall  **********
INFO  | 2019-11-24 15:46:18 | [main] tests.OrdersTest (OrdersTest.java:62) - ********* Started TestCase_testSingleOrder  **********
INFO  | 2019-11-24 15:46:49 | [main] tests.PizzasTest (PizzasTest.java:38) - ********* Started TestCase_testAllPizzasGetCall  **********
INFO  | 2019-11-24 15:46:50 | [main] tests.ToppingsTest (ToppingsTest.java:35) - ********* Started TestCase_testAllToppingsGetCall  **********
INFO  | 2019-11-24 15:46:51 | [main] tests.ToppingsTest (ToppingsTest.java:52) - ********* Started TestCase_testDeleteToppingCall  **********
INFO  | 2019-11-24 15:46:51 | [main] tests.OrdersTest (OrdersTest.java:43) - ********* Started TestCase_testAllOrders  **********
INFO  | 2019-11-24 15:46:51 | [main] tests.OrdersTest (OrdersTest.java:90) - ********* Started TestCase_testPostOrdersCall  **********
INFO  | 2019-11-24 15:46:52 | [main] tests.OrdersTest (OrdersTest.java:62) - ********* Started TestCase_testSingleOrder  **********
INFO  | 2019-11-24 15:47:05 | [main] tests.PizzasTest (PizzasTest.java:38) - ********* Started TestCase_testAllPizzasGetCall  **********
INFO  | 2019-11-24 15:47:07 | [main] tests.ToppingsTest (ToppingsTest.java:35) - ********* Started TestCase_testAllToppingsGetCall  **********
INFO  | 2019-11-24 15:47:07 | [main] tests.ToppingsTest (ToppingsTest.java:52) - ********* Started TestCase_testDeleteToppingCall  **********
INFO  | 2019-11-24 15:47:07 | [main] tests.OrdersTest (OrdersTest.java:43) - ********* Started TestCase_testAllOrders  **********
INFO  | 2019-11-24 15:47:08 | [main] tests.OrdersTest (OrdersTest.java:90) - ********* Started TestCase_testPostOrdersCall  **********
INFO  | 2019-11-24 15:47:08 | [main] tests.OrdersTest (OrdersTest.java:62) - ********* Started TestCase_testSingleOrder  **********
INFO  | 2019-11-24 15:48:54 | [main] tests.PizzasTest (PizzasTest.java:38) - ********* Started TestCase_testAllPizzasGetCall  **********
INFO  | 2019-11-24 15:49:31 | [main] tests.PizzasTest (PizzasTest.java:38) - ********* Started TestCase_testAllPizzasGetCall  **********
INFO  | 2019-11-24 15:51:51 | [main] tests.PizzasTest (PizzasTest.java:40) - ********* Started TestCase_testAllPizzasGetCall  **********
INFO  | 2019-11-24 15:52:33 | [main] tests.PizzasTest (PizzasTest.java:40) - ********* Started TestCase_testAllPizzasGetCall  **********
INFO  | 2019-11-24 15:52:58 | [main] tests.PizzasTest (PizzasTest.java:40) - ********* Started TestCase_testAllPizzasGetCall  **********
INFO  | 2019-11-24 15:53:56 | [main] tests.PizzasTest (PizzasTest.java:40) - ********* Started TestCase_testAllPizzasGetCall  **********
INFO  | 2019-11-24 15:55:37 | [main] tests.PizzasTest (PizzasTest.java:39) - ********* Started TestCase_testAllPizzasGetCall  **********
INFO  | 2019-11-24 15:58:39 | [main] tests.PizzasTest (PizzasTest.java:39) - ********* Started TestCase_testAllPizzasGetCall  **********
INFO  | 2019-11-24 15:59:00 | [main] tests.PizzasTest (PizzasTest.java:39) - ********* Started TestCase_testAllPizzasGetCall  **********
INFO  | 2019-11-24 16:02:31 | [main] tests.PizzasTest (PizzasTest.java:39) - ********* Started TestCase_testAllPizzasGetCall  **********
INFO  | 2019-11-24 16:11:40 | [main] tests.PizzasTest (PizzasTest.java:47) - ********* Started TestCase_testAllPizzasGetCall  **********
INFO  | 2019-11-24 16:12:12 | [main] tests.PizzasTest (PizzasTest.java:47) - ********* Started TestCase_testAllPizzasGetCall  **********
